TimeGMT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,Date,UTC
12:20 AM,50,44.6,82,30.39,6.2,SSW,10.4,-,N/A,,Overcast,210,1/1/2015,12:20
12:50 AM,51.8,46.4,82,30.39,6.2,SW,12.7,-,N/A,,Overcast,220,1/1/2015,12:50
1:20 AM,50,46.4,87,30.36,6.2,SSW,11.5,-,N/A,,Overcast,210,1/1/2015,1:20
1:50 AM,50,46.4,87,30.39,6.2,SSW,9.2,-,N/A,,Overcast,200,1/1/2015,1:50
2:20 AM,50,46.4,87,30.39,6.2,South,8.1,-,N/A,,Overcast,180,1/1/2015,2:20
2:50 AM,50,46.4,87,30.39,6.2,South,5.8,-,N/A,,Overcast,190,1/1/2015,2:50
3:20 AM,50,48.2,94,30.39,6.2,South,6.9,-,N/A,,Overcast,180,1/1/2015,3:20
3:50 AM,50,48.2,94,30.36,6.2,South,6.9,-,N/A,,Overcast,170,1/1/2015,3:50
4:20 AM,50,48.2,94,30.36,6.2,SSE,9.2,-,N/A,,Overcast,160,1/1/2015,4:20
4:50 AM,50,48.2,94,30.36,6.2,SSE,6.9,-,N/A,,Overcast,160,1/1/2015,4:50
5:20 AM,50,48.2,94,30.36,6.2,SSE,5.8,-,N/A,,Overcast,160,1/1/2015,5:20
5:50 AM,50,48.2,94,30.33,6.2,South,10.4,-,N/A,,Mostly Cloudy,180,1/1/2015,5:50
6:20 AM,51.8,48.2,88,30.33,6.2,South,12.7,-,N/A,,Mostly Cloudy,180,1/1/2015,6:20
6:50 AM,51.8,48.2,88,30.3,6.2,South,11.5,-,N/A,,Mostly Cloudy,180,1/1/2015,6:50
7:20 AM,51.8,48.2,88,30.3,6.2,South,11.5,-,N/A,,Overcast,180,1/1/2015,7:20
7:50 AM,51.8,48.2,88,30.33,6.2,South,10.4,-,N/A,,Overcast,190,1/1/2015,7:50
8:20 AM,51.8,48.2,88,30.33,6.2,South,8.1,-,N/A,,Overcast,190,1/1/2015,8:20
8:50 AM,51.8,48.2,88,30.33,6.2,SSW,9.2,-,N/A,,Overcast,210,1/1/2015,8:50
9:20 AM,51.8,48.2,88,30.33,6.2,SW,9.2,-,N/A,,Overcast,230,1/1/2015,9:20
9:50 AM,51.8,48.2,88,30.33,6.2,SSW,6.9,-,N/A,,Overcast,200,1/1/2015,9:50
10:20 AM,51.8,48.2,88,30.33,6.2,SW,9.2,-,N/A,,Overcast,230,1/1/2015,10:20
10:50 AM,53.6,48.2,82,30.33,6.2,SW,13.8,-,N/A,,Overcast,230,1/1/2015,10:50
11:20 AM,53.6,48.2,82,30.3,6.2,SW,10.4,-,N/A,,Mostly Cloudy,220,1/1/2015,11:20
11:50 AM,53.6,48.2,82,30.27,6.2,SW,13.8,-,N/A,,Mostly Cloudy,220,1/1/2015,11:50
12:20 PM,53.6,48.2,82,30.24,6.2,SW,12.7,-,N/A,,Overcast,230,1/1/2015,12:20
12:50 PM,53.6,50,88,30.24,6.2,SW,12.7,-,N/A,,Overcast,230,1/1/2015,12:50
1:20 PM,53.6,50,88,30.21,6.2,SW,18.4,-,N/A,,Overcast,220,1/1/2015,1:20
1:50 PM,53.6,50,88,30.21,6.2,SW,13.8,-,N/A,,Overcast,230,1/1/2015,1:50
2:20 PM,53.6,50,88,30.21,6.2,SW,15,-,N/A,,Overcast,220,1/1/2015,2:20
2:50 PM,53.6,50,88,30.18,6.2,SSW,15,-,N/A,,Overcast,210,1/1/2015,2:50
3:20 PM,53.6,50,88,30.18,6.2,SSW,16.1,-,N/A,,Mostly Cloudy,210,1/1/2015,3:20
3:50 PM,53.6,50,88,30.15,6.2,SW,18.4,-,N/A,,Overcast,220,1/1/2015,3:50
4:20 PM,53.6,50,88,30.15,6.2,SW,17.3,-,N/A,,Overcast,220,1/1/2015,4:20
4:50 PM,53.6,51.8,94,30.15,-9999,SW,16.1,-,N/A,Rain,Rain,220,1/1/2015,4:50
5:20 PM,53.6,50,88,30.12,6.2,SW,15,-,N/A,Rain,Light Rain,220,1/1/2015,5:20
5:50 PM,53.6,50,88,30.12,3.7,SW,15,-,N/A,Rain,Rain,220,1/1/2015,5:50
6:20 PM,53.6,51.8,94,30.12,6.2,SW,16.1,27.6,N/A,,Overcast,230,1/1/2015,6:20
6:50 PM,53.6,51.8,94,30.12,6.2,SW,16.1,-,N/A,Rain,Light Rain,230,1/1/2015,6:50
7:20 PM,53.6,51.8,94,30.12,6.2,SW,13.8,-,N/A,,Overcast,230,1/1/2015,7:20
7:50 PM,53.6,51.8,94,30.12,-9999,SW,15,-,N/A,Rain,Rain,230,1/1/2015,7:50
8:20 PM,53.6,51.8,94,30.09,-9999,WSW,12.7,-,N/A,Rain,Heavy Rain,240,1/1/2015,8:20
8:50 PM,53.6,51.8,94,30.09,6.2,WSW,18.4,-,N/A,Rain,Rain,240,1/1/2015,8:50
9:20 PM,53.6,51.8,94,30.09,6.2,WSW,17.3,-,N/A,,Overcast,240,1/1/2015,9:20
9:50 PM,53.6,51.8,94,30.09,6.2,WSW,17.3,-,N/A,,Overcast,240,1/1/2015,9:50
10:20 PM,53.6,51.8,94,30.09,6.2,WSW,19.6,-,N/A,,Overcast,240,1/1/2015,10:20
10:50 PM,53.6,51.8,94,30.09,4.3,WSW,20.7,-,N/A,Rain,Rain,250,1/1/2015,10:50
11:20 PM,53.6,51.8,94,30.09,1.2,WSW,19.6,31.1,N/A,Rain,Rain,250,1/1/2015,11:20
